Connecting to host 192.168.20.2, port 5201
[  5] local 192.168.10.2 port 52750 connected to 192.168.20.2 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  8.38 MBytes  70.2 Mbits/sec    0   4.63 MBytes       
[  5]   1.00-2.01   sec  22.4 MBytes   186 Mbits/sec  270   7.44 MBytes       
[  5]   2.01-3.00   sec  26.0 MBytes   220 Mbits/sec    0   6.47 MBytes       
[  5]   3.00-4.00   sec  26.0 MBytes   218 Mbits/sec    0   6.43 MBytes       
[  5]   4.00-5.00   sec  25.9 MBytes   217 Mbits/sec    0   5.96 MBytes       
[  5]   5.00-6.00   sec  25.6 MBytes   215 Mbits/sec    0   6.12 MBytes       
[  5]   6.00-7.00   sec  25.6 MBytes   215 Mbits/sec    0   5.97 MBytes       
[  5]   7.00-8.00   sec  25.9 MBytes   217 Mbits/sec    0   5.90 MBytes       
[  5]   8.00-9.00   sec  26.0 MBytes   218 Mbits/sec    0   5.92 MBytes       
[  5]   9.00-10.00  sec  26.1 MBytes   219 Mbits/sec    0   5.97 MBytes       
[  5]  10.00-11.00  sec  24.8 MBytes   208 Mbits/sec    0   6.06 MBytes       
[  5]  11.00-12.00  sec  26.1 MBytes   219 Mbits/sec    0   6.19 MBytes       
[  5]  12.00-13.00  sec  26.2 MBytes   220 Mbits/sec    0   6.41 MBytes       
[  5]  13.00-14.00  sec  24.6 MBytes   207 Mbits/sec    0   6.00 MBytes       
[  5]  14.00-15.00  sec  15.1 MBytes   127 Mbits/sec    0   5.61 MBytes       
[  5]  15.00-16.00  sec  26.0 MBytes   218 Mbits/sec    0   6.46 MBytes       
[  5]  16.00-17.00  sec  26.6 MBytes   224 Mbits/sec    0   6.48 MBytes       
[  5]  17.00-18.00  sec  24.9 MBytes   209 Mbits/sec    0   6.42 MBytes       
[  5]  18.00-19.00  sec  26.2 MBytes   220 Mbits/sec    0   6.42 MBytes       
[  5]  19.00-20.00  sec  24.9 MBytes   209 Mbits/sec    0   6.14 MBytes       
[  5]  20.00-21.00  sec  26.1 MBytes   219 Mbits/sec    0   6.02 MBytes       
[  5]  21.00-22.00  sec  25.9 MBytes   217 Mbits/sec    0   5.91 MBytes       
[  5]  22.00-23.00  sec  26.0 MBytes   218 Mbits/sec    0   6.10 MBytes       
[  5]  23.00-24.00  sec  25.0 MBytes   210 Mbits/sec    0   6.08 MBytes       
[  5]  24.00-25.00  sec  26.0 MBytes   218 Mbits/sec    0   6.10 MBytes       
[  5]  25.00-26.00  sec  25.1 MBytes   211 Mbits/sec    0   6.45 MBytes       
[  5]  26.00-27.01  sec  26.4 MBytes   220 Mbits/sec    0   6.27 MBytes       
[  5]  27.01-28.00  sec  26.2 MBytes   222 Mbits/sec    0   5.99 MBytes       
[  5]  28.00-29.00  sec  24.5 MBytes   205 Mbits/sec    0   5.98 MBytes       
[  5]  29.00-30.00  sec  26.4 MBytes   222 Mbits/sec    0   6.31 MBytes       
[  5]  30.00-31.00  sec  26.4 MBytes   221 Mbits/sec    0   6.10 MBytes       
[  5]  31.00-32.00  sec  24.8 MBytes   208 Mbits/sec    0   6.05 MBytes       
[  5]  32.00-33.00  sec  26.1 MBytes   219 Mbits/sec    0   6.02 MBytes       
[  5]  33.00-34.00  sec  25.6 MBytes   215 Mbits/sec    0   6.03 MBytes       
[  5]  34.00-35.00  sec  26.1 MBytes   219 Mbits/sec    0   6.01 MBytes       
[  5]  35.00-36.00  sec  16.1 MBytes   135 Mbits/sec    0   5.64 MBytes       
[  5]  36.00-37.00  sec  25.9 MBytes   217 Mbits/sec    0   5.94 MBytes       
[  5]  37.00-38.00  sec  24.8 MBytes   207 Mbits/sec    0   6.03 MBytes       
[  5]  38.00-39.00  sec  26.2 MBytes   220 Mbits/sec    0   6.18 MBytes       
[  5]  39.00-40.00  sec  25.0 MBytes   209 Mbits/sec    0   6.58 MBytes       
[  5]  40.00-41.00  sec  27.4 MBytes   230 Mbits/sec    0   5.98 MBytes       
[  5]  41.00-42.00  sec  21.5 MBytes   180 Mbits/sec  116   6.03 MBytes       
